Company,Year,Annual_accounts,Country_by_Country_Reports,Industry,Headquarter_country,Folder,Notes,New?
Repsol,2020,https://www.repsol.com/en/shareholders-and-investors/financial-information/annual-reports/index.cshtml,https://www.repsol.com/en/sustainability/responsible-tax-policy/tax-contribution-by-country/index.cshtml,Oil and gas,ESP,Good,,
Rio Tinto,2018,https://www.riotinto.com/invest/reports,https://www.riotinto.com/invest/reports,Metals and Mining,GBR,public CbCRs,,
Rio Tinto,2019,https://www.riotinto.com/invest/reports,https://www.riotinto.com/invest/reports,Metals and Mining,GBR,public CbCRs,,
Rio Tinto,2020,https://www.riotinto.com/invest/reports/annual-report,https://www.riotinto.com/invest/reports/taxes-paid-report,Metals and Mining,GBR,Good,,
Royal Unibrew,2021,https://investor.royalunibrew.com/financial-reports/annual-reports/,,Consumer goods,DNK,Good,,NEW March
Ruffino,2021,,,Agriculture,ITA,Bad,Only one country,NEW February
SAESGetters,2020,https://www.saesgetters.com/investor-relations/reports-accounts/year/new/2020,,Industry,ITA,Bad,Good but unfortunately below 750m,NEW February
San Lorenzo,2020,https://www.sanlorenzoyacht.com/uk/investors/financial-results-and-financial-documents.asp,,Consumer goods,ITA,Bad,Only in one country,NEW February
Schroders,2015,https://www.schroders.com/en/investor-relations/results-and-reports/results-reports-and-presentations/,https://www.schroders.com/en/sustainability/corporate-responsibility/our-economic-contribution/,Bank,GBR,Bad,Bad because bank,
Schroders,2016,https://www.schroders.com/en/investor-relations/results-and-reports/results-reports-and-presentations/,https://www.schroders.com/en/sustainability/corporate-responsibility/our-economic-contribution/,Bank,GBR,Bad,Bad because bank,
Schroders,2017,https://www.schroders.com/en/investor-relations/results-and-reports/results-reports-and-presentations/,https://www.schroders.com/en/sustainability/corporate-responsibility/our-economic-contribution/,Bank,GBR,Bad,Bad because bank,
Schroders,2018,https://www.schroders.com/en/investor-relations/results-and-reports/results-reports-and-presentations/,https://www.schroders.com/en/sustainability/corporate-responsibility/our-economic-contribution/,Bank,GBR,Bad,Bad because bank,
Schroders,2019,https://www.schroders.com/en/investor-relations/results-and-reports/results-reports-and-presentations/,https://www.schroders.com/en/sustainability/corporate-responsibility/our-economic-contribution/,Bank,GBR,Bad,Bad because bank,
Schroders,2020,https://www.schroders.com/en/investor-relations/results-and-reports/results-reports-and-presentations/,https://www.schroders.com/en/sustainability/corporate-responsibility/our-economic-contribution/,Bank,GBR,Bad,Bad because bank,
Shell,2018,https://www.shell.com/about-us/annual-publications/annual-reports-download-centre.html#vanity-aHR0cHM6Ly93d3cuc2hlbGwuY29tL2ludmVzdG9ycy9maW5hbmNpYWwtcmVwb3J0aW5nL2FubnVhbC1wdWJsaWNhdGlvbnMvYW5udWFsLXJlcG9ydHMtZG93bmxvYWQtY2VudHJlLmh0bWw,https://www.shell.com/about-us/annual-publications/annual-reports-download-centre.html#vanity-aHR0cHM6Ly93d3cuc2hlbGwuY29tL2ludmVzdG9ycy9maW5hbmNpYWwtcmVwb3J0aW5nL2FubnVhbC1wdWJsaWNhdGlvbnMvYW5udWFsLXJlcG9ydHMtZG93bmxvYWQtY2VudHJlLmh0bWw,Oil and gas,NLD,public CbCRs,,
